#id_geoportail	why
005C00508003461_5126_15-17
008B01334004751_5196_25	n'existe pas et induit en erreur avec le 23 beaucoup plus loin
008B01334004752_5196_27	n'existe pas et induit en erreur avec le 23 beaucoup plus loin
009C00017000152_3200_0	1 et 3 Lellingerhaff existent et ce batiment est une étable
009D00183001177_3194_24	doublon sur division
010A00651004853_2564_17B	doublon sur division
010A00866007255_2554_59	démoli
010A00930006587_7483_9
010A01339007230_8235_19	snafu Atrium Strassen-Bertrange; doublon sur division
010A01339007230_8235_21	snafu Atrium Strassen-Bertrange; doublon sur division
010A01339007230_8235_23	snafu Atrium Strassen-Bertrange; doublon sur division
010A01339007230_8235_25	snafu Atrium Strassen-Bertrange; doublon sur division
010A01339007230_8235_27	snafu Atrium Strassen-Bertrange; doublon sur division
010A01339007230_8235_29	snafu Atrium Strassen-Bertrange; doublon sur division
010A01339007230_8235_31	snafu Atrium Strassen-Bertrange; doublon sur division
010A01339007230_8235_33	snafu Atrium Strassen-Bertrange; doublon sur division
010A01339007230_8235_35	snafu Atrium Strassen-Bertrange; doublon sur division
010A01339007230_8235_37	snafu Atrium Strassen-Bertrange; doublon sur division
010A01339007230_8235_39	snafu Atrium Strassen-Bertrange; doublon sur division
010A01339007230_8235_41	snafu Atrium Strassen-Bertrange; doublon sur division
010A01365007231_8235_19	snafu Atrium Strassen-Bertrange; n'existe pas à Bertrange
010A01365007231_8235_25	snafu Atrium Strassen-Bertrange; n'existe pas à Bertrange
010A01365007231_8235_27	snafu Atrium Strassen-Bertrange; n'existe pas à Bertrange
010A01365007231_8235_29	snafu Atrium Strassen-Bertrange; n'existe pas à Bertrange
010A01365007231_8235_31	snafu Atrium Strassen-Bertrange; n'existe pas à Bertrange
010A01365007231_8235_33	snafu Atrium Strassen-Bertrange; n'existe pas à Bertrange
010A01365007231_8235_35	snafu Atrium Strassen-Bertrange; n'existe pas à Bertrange
010A01365007231_8235_37	snafu Atrium Strassen-Bertrange; n'existe pas à Bertrange
010A01365007231_8235_39	snafu Atrium Strassen-Bertrange; n'existe pas à Bertrange
021C00620003636_3913_39	doublon sur division
021C00620004287_3913_39	doublon sur division
031A03104008013_2393_203	doublon division
031B00135008937_1342_10
034B00088005925_9416_4	parking
034B00758005677_5297_2	doublon sur division
035C00356005118_258_1	le vrai 1 est plus bas. Bâtiment école?
035C00460006330_225_165	démoli
035C00460006331_225_163	démoli
035C00460006332_225_161	démoli
036E00206005779_4425_36-..	 bizarre vieux truc et 36 existe
042C00956007228_4128_69A	doublon sur division
061F00060006229_548_2A	doublon sur division
061F00060006230_548_2A	doublon sur division
072A00754007892_8039_9-13	combiné 9-13 superflu; on a 9 11 et 13
072A00968007437_1962_14-16	combiné 14-16 superflu; on a 14 et 16
074C00764002695_3412_0	1 Asselscheierhaff existe
076A00439004883_7224_6
076A00439004883_7224_8
076B00741007769_1092_107	doublon sur division
084B02373004239_1629_42
092B00960004718_8328_6	doublon sur division
108A03926012035_2510_5A
114A00152000343_3055_82	démoli
114A00153001815_3055_84	démoli
114A01126004108_8140_21	snafu Atrium Strassen-Bertrange; n'existe pas à Strassen
114A01126004108_8140_23	snafu Atrium Strassen-Bertrange; n'existe pas à Strassen
114A01126004108_8140_41	snafu Atrium Strassen-Bertrange; n'existe pas à Strassen
114B00029002136_548_5	doublon sur division
114B00115002528_394_8	doublon sur division
114B00115002529_394_6	doublon sur division
118B00332001680_5080_22	doublon à cause décalage
121A00337002306_5446_9	doublon sur division
127A00005003096_4979_66
130C01569010112_5946_4	doublon sur division
006F00134001552_6908_2A	démoli
006F00134001552_6908_2B	démoli
006F00134001552_6908_2C	démoli
006F00134001552_6908_2D	démoli
108A03597012625_2483_47	démoli 45 et 47, uniquement 45 reconstruit
125C02294007992_6711_7	démoli 5 et 7, uniquement 5 reconstruit
034B02842004790_5309_5	n'existe pas sur le terrain 2021-07-12
034B00916005650_5329_7	n'existe pas sur le terrain 2021-07-12
115E00120001556_3781_1D	n'existe pas, plus de 'Maison' dans la localité
034B01079005715_5285_12	n'existe pas
034B01079005715_5285_14	n'existe pas
034B01079005715_5285_16	n'existe pas
034B01079005934_5285_12	n'existe pas, maison démolie
034B01079005934_5285_14	n'existe pas, maison démolie
034B01079005934_5285_16	n'existe pas, maison démolie
127A00005004730_4979_62	démoli
128A01285002258_7800_2	doublon sur division
118B01616002595_5088_1	erreur, le vrai 1 montée du château est plus bas.
008A02398004528_5212_5	erreur, le vrai 5 est à 3km 008A01730004513_5212_5
008A00787003788_5212_30	erreur, le vrai 30 est à 700m 008A00951004431_5212_30
003C00358008424_640_2	erreur, le vrai 2 est à 300m
109B01187003901_2903_163A	n'existe pas, tout l'immeuble est 163
109B01187003901_2903_163B	n'existe pas, tout l'immeuble est 163
109B01187003901_2903_165	n'existe pas, tout l'immeuble est 163
029B01639001989_6039_17	doublon
034B01736004614_5321_9	n'existe pas, pas non plus de 9 rue Alf
034B01736004614_5321_11	n'existe pas, 11 rue Alf sur le terrain
034B01736004614_5321_13	n'existe pas, 13 rue Alf sur le terrait

