Redange/Attert	Redange
Roodt/Eisch	Roodt-sur-Eisch
Remeschen	Remerschen
Crauthem 	Crauthem
Goebelsmuehle	Goebelsmühle
Echternacvh	Echternach
Bockholtz (Goesdorf)	Bockholtz
Dirbach (Goesdorf)	Dirbach
Grevels (Grosbous)	Grevels
Grundhof (Berdorf)	Grundhof
Kalkesbach (Berdorf)	Kalkesbach
Kalkesbach (Consdorf)	Kalkesbach
Roodt (Ell)	Roodt
Roost (Bissen)	Roost
Savelborn (Waldbillig)	Savelborn
Windhof (Koerich)	Windhof
Buederscheid	Büderscheid
Gruemelscheid	Grümelscheid
Huettermuehle	Hëttermillen
Maulusmuehle	Maulusmühle
