A la Croix Saint Pierre	À la Croix Saint-Pierre
A la Siole	À la Siole
Aline an Emile Mayrischstrooss	Aline an Émile Mayrischstrooss
Allée Dwight David Eisenhower	Allée Dwight D. Eisenhower
Allée John W. Léonard	Allée John W. Leonard
Allée Saint Hubert	Allée Saint-Hubert
Am Buurgbierg - Rés. Laurentides	Am Buurgbierg - Résidence Laurentides
Am enneschten Eck	Am ënneschten Eck
Am Hueschterterboesch	Am Hueschterterbësch
Am Reimergaard	Am Réimergaart
Am Rousegaertchen	Am Rousegärtchen
An den Jenken	An de Jenken
An den Längten	An de Längten
An der Prenzewiss	An der Prënzewiss
Av. Grand-Duc Jean	Avenue Grand-Duc Jean
Avenue Dr Ernest Feltgen	Avenue Docteur Ernest Feltgen
Avenue Dr Gaasch	Avenue Docteur Gaasch
Avenue Dr Klein	Avenue Docteur Klein
Avenue Emile Reuter	Avenue Émile Reuter
Avenue Gordon Smith	Avenue Gordon T. Smith
Avenue J-F Kennedy	Avenue John F. Kennedy
Avenue Marie-Adelaide	Avenue Marie-Adélaïde
Bd Grande-Duchesse Joséphine-Charlotte	Boulevard Grande-Duchesse Joséphine-Charlotte
Bd Robert Schuman	Boulevard Robert Schuman
Beim Besch	Beim Bësch
Beim Maartbesch	Beim Maartbësch
Belle-Etoile	Belle-Étoile
Boulevard Dr Charles Marx	Boulevard Docteur Charles Marx
Boulevard Dr Ernest Feltgen	Boulevard Docteur Ernest Feltgen
Boulevard Emile Krieps	Boulevard Émile Krieps
Boulevard F.W. Raiffeisen	Boulevard Friedrich Wilhelm Raiffeisen
Boulevard Général George S. Patton	Boulevard General George S. Patton
Boulevard J-F Kennedy	Boulevard John F. Kennedy
Boulevard J.F. Kennedy	Boulevard John F. Kennedy
Camping Nic. Brandenburger	Camping Nicolas Brandenburger
Chalet St. Hubert	Chalet Saint-Hubert
Chaussée St Martin	Chaussée Saint-Martin
Chemin de l'Eglise	Chemin de l'Église
Chemin J-A Zinnen	Chemin Jean-Antoine Zinnen
Cité "bei der Kapell"	Cité Bei der Kapell
Cité "Pënscherbierg"	Cité Pënscherbierg
Cité Am Wenkel	Cité Am Wénkel
Cité an de Klengelen	Cité An de Klengelen
Cité Cfl	Cité CFL
Cité des Sacrifiés 1940-1945	Rue de la Jeunesse Sacrifiée 1940-1945
Cité Dr Nicolas Schaeftgen	Cité Docteur Nicolas Schaeftgen
Cité Emile Mayrisch	Cité Émile Mayrisch
Cité Emile Tibessart	Cité Émile Tibessart
Cité J.F.L. Alexandre de Colnet	Cité Jean François Léonard Alexandre de Colnet
Cité Paerchen	Am Paerchen
Cité St Jean	Cité Saint-Jean
Cité St. Blaise	Cité Saint-Blaise
Dosberbreck	Dosberbréck
Ennerem Besch	Ënnerem Bësch
Fond St Martin	Fond Saint-Martin
Fondation Emile Mayrisch	Fondation Émile Mayrisch
Hl. Vinzenz Gaass	Hellege Vinzenz-Gaass
Henneschtgaass	Hënneschtgaass
Hoenerwee	Hoënerwee
Impasse Emile Didderich	Impasse Émile Didderich
Impasse J-F Kennedy	Impasse John F. Kennedy
Impasse St Dominique	Impasse Saint-Dominique
Impasse St François	Impasse Saint-François
Impasse St. Antoine	Impasse Saint-Antoine
J. B. Zewenstrooss	Jean-Baptiste-Zewenstrooss
J.-P. Hentzenstrooss	Jean-Pierre-Hentzenstrooss
Jaansmillen	Jansmillen
Kengert	Op Kengert
Maison de Soins de l'Etat	Maison de Soins de l'État
Meecherwee	Mecherwee
Merschterwee	Mierschterwee
Moellerdallerstrooss	Möllerdallerstrooss
Mont St. Nicolas	Mont Saint-Nicolas
Montagne de l'Ecole	Montagne de l'École
Montée de l'Ecole	Montée de l'École
Montée de l'Eglise	Montée de l'Église
Montée des Ecoles	Montée des Écoles
Montée Saint Nicolas	Montée Saint-Nicolas
Montée St Crépin	Montée Saint-Crépin
Montée St Urbain	Montée Saint-Urbain
Montée St. Hubert	Montée Saint-Hubert
Rue Nic Schildermans	Rue Nicolas Schildermans
Nonnesees	Oam Nonnesees
Op den Leeën	Op de Leeën
Op Feileschterkeppchen	Op Feileschter
Op Feileschterkeppchen	Op Féilëschterkëppchen
Op Kraeizheck	Op Kräizheck
Parc d'Activités Eco. Gadderscheier	Parc d'Activités Économiques Gadderscheier
Park Drai Eechelen	Park Dräi Eechelen
Parvis De La Basilique	Parvis de la Basilique
Passage des Bâteliers	Passage des Bateliers
Peternelchen	Rue Peternelchen
Place Abbé P.J. Charles Mullendorff	Place Abbé Prosper-Jean-Charles Mullendorff
Place de l'Eglise	Place de l'Église
Place de l'Etoile	Place de l'Étoile
Place Emile Hamilius	Place Émile Hamilius
Place Emile Mousel	Place Émile Mousel
Place J.F. Kennedy	Place John F. Kennedy
Place Jos. Moscardo	Place Joseph Moscardo
Place St Jean	Place Saint-Jean
Place St Michel	Place Saint-Michel
Place St Willibrord	Place Saint-Willibrord
Place Ste Cunégonde	Place Sainte-Cunégonde
Place Sts Pierre et Paul	Place Saints-Pierre-et-Paul
Plateau du St Esprit	Plateau du Saint-Esprit
Porte St Willibrord	Porte Saint-Willibrord
Pénetrante de Lallange	Pénétrante de Lallange
Quartier de l'Eglise	Quartier de l'Église
Reimerwee	Réimerwee
Res. Merelbach	Résidence Merelbach
Rond-point An der Schmelz	Rond-Point An der Schmelz
Rond-point Charles de Gaulle	Rond-Point Charles de Gaulle
Rond-point de la Jeunesse Sacrifiée	Rond-Point de la Jeunesse Sacrifiée
Rond-point Hubert Clément	Rond-Point Hubert Clément
Rond-point Hurkes	Rond-Point Hurkes
Rond-point Op der Goar	Rond-Point Op der Goar
Rond-point Raemerich	Rond-Point Raemerich
Rond-point Terres-Rouges	Rond-Point Terres-Rouges
Rond-point Um Däich	Rond-Point Um Däich
Rte de Luxembourg	Route de Luxembourg
Rue A.T. Schmitz	Rue August Theodor Schmitz
Rue Abbe Jos Keup	Rue Abbé Jos Keup
Rue Abbé Edouard Garnich	Rue Abbé Édouard Garnich
Rue André Losch 1934-2016	Rue André Losch
Rue Antoine-François Van Der Meulen	Rue Antoine-François van der Meulen
Rue Bel Air	Rue Bel-Air
Rue C-M Spoo	Rue Caspar Mathias Spoo
Rue C.-M. Spoo	Rue Caspar Mathias Spoo
Rue C.M. Spoo	Rue Caspar Mathias Spoo
Rue Caspar-Mathias Spoo	Rue Caspar Mathias Spoo
Rue Ch. W. Gluck	Rue Christoph Willibald Gluck
Rue Charles-Frederic Mersch	Rue Charles-Frédéric Mersch
Rue Charles-Quint	Rue Charles Quint
Rue Comte J.-F. d'Autel	Rue Comte Jean-Frédéric d'Autel
Rue d'Epernay	Rue d'Épernay
Rue d'Etalle	Rue d'Étalle
Rue d'Oradour-Sur-Glane	Rue d'Oradour-sur-Glane
Rue de Dangé St Romain	Rue de Dangé-Saint-Romain
Rue de Hünsdorf	Rue de Hunsdorf
Rue de l'Ecole	Rue de l'École
Rue de l'Egalité	Rue de l'Égalité
Rue de l'Eglise	Rue de l'Église
Rue de l'Electricité	Rue de l'Électricité
Rue de l'Etang	Rue de l'Étang
Rue de l'Etoile	Rue de l'Étoile
Rue de la 87E Division	Rue de la 87e division
Rue de la Fonte	Avenue de la Fonte
Rue de la Toison D'Or	Rue de la Toison d'Or
Rue de la Vieille Eglise	Rue de la Vieille Église
rue de Mondorf	Rue de Mondorf
Rue des Bâteliers	Rue des Bateliers
Rue des Commercants	Rue des Commerçants
Rue des Ecoles	Rue des Écoles
Rue des Ecoliers	Rue des Écoliers
Rue des Eglantiers	Rue des Églantiers
Rue des Erables	Rue des Érables
Rue des Etangs	Rue des Étangs
Rue des Etats-Unis	Rue des États-Unis
Rue Dr Albert Mambourg	Rue Docteur Albert Mambourg
Rue Dr Albert Schweitzer	Rue Docteur Albert Schweitzer
Rue Dr Auguste Schumacher	Rue Docteur Auguste Schumacher
Rue Dr Conzémius	Rue Docteur Jean Conzemius
Rue Dr Elvire Engel	Rue Docteur Elvire Engel
Rue Dr Emile Colling	Rue Docteur Émile Colling
Rue Dr Emile Pauly	Rue Docteur Émile Pauly
Rue Dr Ernest Feltgen	Rue Docteur Ernest Feltgen
Rue Dr Ferdinand Frieden	Rue Docteur Ferdinand Frieden
Rue Dr Fernand Schwachtgen	Rue Docteur Fernand Schwachtgen
Rue Dr Flesch	Rue Docteur Flesch
Rue Dr François Baclesse	Rue Docteur François Baclesse
Rue Dr Henri Clees	Rue Docteur Henri Clees
Rue Dr Herr	Rue Docteur Herr
Rue Dr Jean Theodore Kirpach	Rue Docteur Jean Théodore Kirpach
Rue Dr Jean-Pierre Ecker	Rue Docteur Jean-Pierre Ecker
Rue Dr Jean-Pierre Glaesener	Rue Docteur Jean-Pierre Glaesener
Rue Dr Jean-Pierre Knaff	Rue Docteur Jean-Pierre Knaff
Rue Dr Joseph Peffer	Rue Docteur Joseph Peffer
Rue Dr Julien Berger	Rue Docteur Julien Berger
Rue Dr Klein	Rue Docteur Klein
Rue Dr Lucius	Rue Docteur Lucius
Rue Dr Léon Mischo	Rue Docteur Léon Mischo
Rue Dr Marie-Paule Molitor-Peffer	Rue Docteur Marie-Paule Molitor-Peffer
Rue Dr Michel Welter	Rue Docteur Michel Welter
Rue Dr Nicolas Clasen	Rue Docteur Nicolas Clasen
Rue Dr Nicolas Dominique Schmit	Rue Docteur Nicolas Dominique Schmit
Rue Dr Orphée Bernard	Rue Docteur Orphée Bernard
Rue Dr Philippe Bastian	Rue Docteur Philippe Bastian
Rue Dr Robert Koch	Rue Docteur Robert Koch
Rue Dr Théodore Urbain	Rue Docteur Théodore Urbain
Rue Dr Welter	Rue Docteur Michel Welter
Rue Dr Willy Thinnes	Rue Docteur Willy Thinnes
Rue Dr. Albert Calmette	Rue Docteur Albert Calmette
Rue Dr. Camille Guerin	Rue Docteur Camille Guérin
Rue Dr. Felix Worre	Rue Docteur Félix Worré
Rue Dr. Marie-Paule Molitor-Peffer	Rue Docteur Marie-Paule Molitor-Peffer
Rue Dr. René Koltz	Rue Docteur René Koltz
Rue du 9 Septembre 1944	Rue du 9 septembre 1944
Rue du Baerendall	Rue du Bärendall
Rue du Fort Elisabeth	Rue du Fort Élisabeth
Rue du Gruenewald	Rue du Grünewald
Rue du Mont St Jean	Rue du Mont Saint-Jean
Rue du Mont St. Jean	Rue du Mont Saint-Jean
Rue du St Esprit	Rue du Saint-Esprit
Rue du X Septembre	Rue du 10 septembre
Rue du Zenith	Rue du Zénith
Rue Edouard Brézol	Rue Édouard Brézol
Rue Edouard Fellens	Rue Édouard Fellens
Rue Edouard Grenier	Rue Édouard Grenier
Rue Edouard Oster	Rue Édouard Oster
Rue Edouard Thill	Rue Édouard Thill
Rue Edouard Wolff	Rue Édouard Wolff
Rue Emile Barthel	Rue Émile Barthel
Rue Emile Bian	Rue Émile Bian
Rue Emile Bofferding	Rue Émile Bofferding
Rue Emile Duployé	Rue Émile Duployé
Rue Emile Eischen	Rue Émile Eischen
Rue Emile Elsen	Rue Émile Elsen
Rue Emile Kohn	Rue Émile Kohn
Rue Emile Kowalsky	Rue Émile Kowalsky
Rue Emile Laux	Rue Émile Laux
Rue Emile Lavandier	Rue Émile Lavandier
Rue Emile Ludwig	Rue Émile Ludwig
Rue Emile Lux	Rue Émile Lux
Rue Emile Mark	Rue Émile Mark
Rue Emile Marx	Rue Émile Marx
Rue Emile Mayrisch	Rue Émile Mayrisch
Rue Emile Metz	Rue Émile Metz
Rue Emile Nilles	Rue Émile Nilles
Rue Emile Reding	Rue Émile Reding
Rue Emile Verhaeren	Rue Émile Verhaeren
Rue Erasme	Rue Érasme
Rue Etang Michelbach	Rue Étang Michelbach
Rue Eugene Huberty	Rue Eugène Huberty
Rue F. D. Roosevelt	Rue Franklin D. Roosevelt
Rue F. W. Raiffeisen	Boulevard Friedrich Wilhelm Raiffeisen
Rue Fernand D'Huart	Rue Fernand d'Huart
Rue General Patton	Rue General George S. Patton
Rue Georges Kayser	Rue Abbé Georges Kayser
Rue Graham Bell	Rue Alexander Graham Bell
Rue Grande-Duchesse Josephine Charlotte	Rue Grande-Duchesse Joséphine-Charlotte
Rue Général G.S. Patton	Rue General George S. Patton
Rue Général Major Lunsford E. Oliver	Rue General Major Lunsford E. Oliver
Rue Général Omar N. Bradley	Rue General Omar N. Bradley
Rue Général Patton	Rue General George S. Patton
Rue Henri Bessemer	Rue Henry Bessemer
Rue Henri Moore	Rue Henry Moore
Rue Hireknapp	Rue Hiereknapp
Rue Hubert Clement	Rue Hubert Clément
Rue Ignac Semmelweis	Rue Ignaz Semmelweis
Rue J-B Weicker	Rue Jean-Baptiste Weicker
Rue J-F Kennedy	Rue John F. Kennedy
Rue J. F. Kennedy	Rue John F. Kennedy
Rue J.-B. Neuens	Rue Jean-Baptiste Neuens
Rue J.-B. Scharlé	Rue Jean-Baptiste Scharlé
Rue J.-F. Kennedy	Rue John F. Kennedy
Rue J.-P. Beckius	Rue Jean-Pierre Beckius
Rue J.A. Muller	Rue Joseph-Alexandre Müller
Rue J.A. Zinnen	Rue Jean-Antoine Zinnen
Rue J.B. Determe	Rue Jean-Baptiste Determe
Rue J.F.J. D'Huart	Rue Jean-François-Joseph d'Huart
Rue Jean Jaures	Rue Jean Jaurès
Rue Jean Pierre Glaesener	Rue Jean-Pierre Glaesener
Rue John Fitzgerald Kennedy	Rue John F. Kennedy
Rue Jongebesch	Rue Jungebusch
Rue John Gruen	Rue John Grün
Rue Jos. Moscardo	Rue Joseph Moscardo
Rue Klensch	Rue Émile Klensch
Rue Lavoisier	Rue Antoine Lavoisier
Rue le Relais	Le Relais
Rue Lemire	Rue Abbé Lemire
Rue Leonardo Da Vinci	Rue Leonardo da Vinci
Rue Léo Moulin	Rue Léon Moulin
Rue Marie De Zorn	Rue Marie de Zorn
Rue Marie-Adelaide	Rue Marie-Adélaïde
Rue Marie-Adelaïde	Rue Marie-Adélaïde
Rue Marie-Adélaide	Rue Marie-Adélaïde
Rue Mgr. Fallize	Rue Monseigneur Fallize
Rue Mgr. Jean Bernard	Rue Monseigneur Jean Bernard
Rue Michel Hulsemann	Rue Michel Hülsemann
Rue Mme Mayrisch de St Hubert	Rue Aline Mayrisch-de Saint-Hubert
Rue Mont-Royal	Rue Mont Royal
Rue Munkacsy	Rue Mihály Munkácsy
Rue N.S. Pierret	Rue Nicolas Steffen-Pierret
Rue Nic. Biever	Rue Nicolas Biever
Rue Nic. Emeringer	Rue Nicolas Emeringer
Rue Nic. Wirtgen	Rue Nicolas Wirtgen
Rue Nicolas Van Werveke	Rue Nicolas van Werveke
Rue Nicolas Victor Colbert	Rue Nicolas-Victor Colbert
Rue op den Gehren	Rue op de Gehren
Rue Pepin le Bref	Rue Pépin le Bref
Rue Pessendall	Rue Pëssendall
Rue Pierre Eloi Schoué	Rue Pierre-Éloi Schoué
Rue S. G. Thomas	Rue Sidney Gilchrist Thomas
Rue Saint Michel	Rue Saint-Michel
Rue Sainte Thérèse d'Avila	Rue Sainte-Thérèse-d'Ávila
Rue Simone De Beauvoir	Rue Simone de Beauvoir
Rue Sosthene Weis	Rue Sosthène Weis
Rue St Antoine	Rue Saint-Antoine
Rue St Cunibert	Rue Saint-Cunibert
Rue St Fiacre	Rue Saint-Fiacre
Rue St Gengoul	Rue Saint-Gengoul
Rue St Henri	Rue Saint-Henri
Rue St Jean	Rue Saint-Jean
Rue St Joseph	Rue Saint-Joseph
Rue St Martin	Rue Saint-Martin
Rue St Mathieu	Rue Saint-Mathieu
Rue St Nicolas	Rue Saint-Nicolas
Rue St Quirin	Rue Saint-Quirin
Rue St Roch	Rue Saint-Roch
Rue St Ulric	Rue Saint-Ulric
Rue St Vincent	Rue Saint-Vincent
Rue St Willibrord	Rue Saint-Willibrord
Rue St. Antoine	Rue Saint-Antoine
Rue St. Benoit	Rue Saint-Benoît
Rue St. Donat	Rue Saint-Donat
Rue St. Désert	Rue Saint-Désert
Rue St. Etienne	Rue Saint-Étienne
Rue St. Hubert	Rue Saint-Hubert
Rue St. Joseph	Rue Saint-Joseph
Rue St. Laurent	Rue Saint-Laurent
Rue St. Nicolas	Rue Saint-Nicolas
Rue St. Paul	Rue Saint-Paul
Rue St. Pierre	Rue Saint-Pierre
Rue St. Roch	Rue Saint-Roch
Rue St. Sébastien	Rue Saint-Sébastien
Rue St. Willibrord	Rue Saint-Willibrord
Rue Ste Barbe	Rue Sainte-Barbe
Rue Ste Catherine	Rue Sainte-Catherine
Rue Ste-Catherine	Rue Sainte-Catherine
Rue Ste Zithe	Rue Sainte-Zithe
Rue Ste. Barbe	Rue Sainte-Barbe
Rue Theodor Mergen	Rue Théodore Mergen
Rue Theodore Bassing	Rue Théodore Bassing
Rue Theodore de Wacquant	Rue Théodore de Wacquant
Rue W.A. Mozart	Rue Wolfgang Amadeus Mozart
Rue Wilson	Rue Woodrow Wilson
Rue Woetzkoellchen	Rue Wëtzkëllchen
Rue Würth-Paquet	Rue Wurth-Paquet
Ruelle Soeur Flavia	Ruelle Sœur Flavia
Schefflengerbierg	Schëffléngerbierg
Schleiwegaass	Schléiwegaass
Schmitzbongert	A Schmitzbongert
Sentier de l'Eglise	Sentier de l'Église
Square Edouard André	Square Édouard André
Square Emile Mayrisch	Square Émile Mayrisch
Square General Patton	Square General George S. Patton
